score,frequency,class
-3.28849427732897,0.000593374986364171,"benign"
-3.27446795546822,0.000637907754896026,"benign"
-3.26044163360746,0.000684062141862393,"benign"
-3.24641531174671,0.000735068781836802,"benign"
-3.23238898988596,0.000788190438436011,"benign"
-3.2183626680252,0.000844689682339844,"benign"
-3.20433634616445,0.000905572058281049,"benign"
-3.19031002430369,0.000968578056199,"benign"
-3.17628370244294,0.00103754451442039,"benign"
-3.16225738058218,0.00110953519075453,"benign"
-3.14823105872143,0.00118553552843383,"benign"
-3.13420473686067,0.00126745610615222,"benign"
-3.12017841499992,0.00135210252431613,"benign"
-3.10615209313916,0.00144392020712513,"benign"
-3.09212577127841,0.00153993662945146,"benign"
-3.07809944941766,0.00164059685085375,"benign"
-3.0640731275569,0.00174907979111329,"benign"
-3.05004680569615,0.00186099090028941,"benign"
-3.03602048383539,0.00198134735042737,"benign"
-3.02199416197464,0.00210737299994374,"benign"
-3.00796784011388,0.00223863766974094,"benign"
-2.99394151825313,0.00238001386507042,"benign"
-2.97991519639237,0.00252561267439201,"benign"
-2.96588887453162,0.00268093969156556,"benign"
-2.95186255267086,0.00284371879895825,"benign"
-2.93783623081011,0.00301224465256205,"benign"
-2.92380990894936,0.00319355400551849,"benign"
-2.9097835870886,0.00337995490353587,"benign"
-2.89575726522785,0.00357730766696484,"benign"
-2.88173094336709,0.00378420320720033,"benign"
-2.86770462150634,0.00399721306004678,"benign"
-2.85367829964558,0.00422602629121161,"benign"
-2.83965197778483,0.00446084613172962,"benign"
-2.82562565592407,0.00470770462223246,"benign"
-2.81159933406332,0.00496647195478013,"benign"
-2.79757301220257,0.00523158014069295,"benign"
-2.78354669034181,0.00551568412646259,"benign"
-2.76952036848106,0.00580676758326077,"benign"
-2.7554940466203,0.00611075841142767,"benign"
-2.74146772475955,0.00642923426343169,"benign"
-2.72744140289879,0.00675496358728333,"benign"
-2.71341508103804,0.00710119528392956,"benign"
-2.69938875917728,0.0074562599973552,"benign"
-2.68536243731653,0.0078248061287535,"benign"
-2.67133611545577,0.00821052345911219,"benign"
-2.65730979359502,0.00860434506735261,"benign"
-2.64328347173427,0.00901976963192576,"benign"
-2.62925714987351,0.00944598877069649,"benign"
-2.61523082801276,0.00988590598321292,"benign"
-2.601204506152,0.010345658075658,"benign"
-2.58717818429125,0.0108142478077325,"benign"
-2.57315186243049,0.0113050393952252,"benign"
-2.55912554056974,0.0118085925758806,"benign"
-2.54509921870898,0.0123256636165352,"benign"
-2.53107289684823,0.012865054071919,"benign"
-2.51704657498748,0.0134138436796392,"benign"
-2.50302025312672,0.0139848675774224,"benign"
-2.48899393126597,0.0145705038185044,"benign"
-2.47496760940521,0.0151690724493946,"benign"
-2.46094128754446,0.0157920995454214,"benign"
-2.4469149656837,0.0164248692014759,"benign"
-2.43288864382295,0.0170793168291265,"benign"
-2.41886232196219,0.0177499830823289,"benign"
-2.40483600010144,0.0184326184385557,"benign"
-2.39080967824068,0.0191413501848279,"benign"
-2.37678335637993,0.0198599192278291,"benign"
-2.36275703451918,0.0205990491642476,"benign"
-2.34873071265842,0.0213556424761604,"benign"
-2.33470439079767,0.0221229272092689,"benign"
-2.32067806893691,0.0229173248955245,"benign"
-2.30665174707616,0.0237213981995831,"benign"
-2.2926254252154,0.0245444348857447,"benign"
-2.27859910335465,0.0253857331287018,"benign"
-2.26457278149389,0.0262365888083692,"benign"
-2.25054645963314,0.0271141658210923,"benign"
-2.23652013777239,0.0280013849762033,"benign"
-2.22249381591163,0.028905617171392,"benign"
-2.20846749405088,0.0298284309689825,"benign"
-2.19444117219012,0.0307603285917937,"benign"
-2.18041485032937,0.0317163679595483,"benign"
-2.16638852846861,0.0326825986540138,"benign"
-2.15236220660786,0.0336637015333103,"benign"
-2.1383358847471,0.03466326811261,"benign"
-2.12430956288635,0.0356712884281028,"benign"
-2.11028324102559,0.0367006789387219,"benign"
-2.09625691916484,0.0377405390222756,"benign"
-2.08223059730409,0.0387931177499638,"benign"
-2.06820427544333,0.039863727166018,"benign"
-2.05417795358258,0.0409420943240272,"benign"
-2.04015163172182,0.042039124869235,"benign"
-2.02612530986107,0.0431467237209019,"benign"
-2.01209898800031,0.0442650446831568,"benign"
-1.99807266613956,0.0454008531088914,"benign"
-1.9840463442788,0.0465437668251334,"benign"
-1.97002002241805,0.0477029473313035,"benign"
-1.95599370055729,0.0488727702416933,"benign"
-1.94196737869654,0.0500516125932192,"benign"
-1.92794105683579,0.0512475606884839,"benign"
-1.91391473497503,0.052450120482673,"benign"
-1.89988841311428,0.0536670608748929,"benign"
-1.88586209125352,0.0548948974472498,"benign"
-1.87183576939277,0.0561304270601579,"benign"
-1.85780944753201,0.0573831495106274,"benign"
-1.84378312567126,0.0586422535660812,"benign"
-1.8297568038105,0.0599144867639772,"benign"
-1.81573048194975,0.0611982758428333,"benign"
-1.801704160089,0.0624888214853986,"benign"
-1.78767783822824,0.063797412682719,"benign"
-1.77365151636749,0.0651124946513469,"benign"
-1.75962519450673,0.0664401157182186,"benign"
-1.74559887264598,0.0677805668791287,"benign"
-1.73157255078522,0.0691276399078742,"benign"
-1.71754622892447,0.0704936654450672,"benign"
-1.70351990706371,0.0718671301382063,"benign"
-1.68949358520296,0.0732531258663016,"benign"
-1.6754672633422,0.0746539836056724,"benign"
-1.66144094148145,0.076062073983597,"benign"
-1.6474146196207,0.0774900492936738,"benign"
-1.63338829775994,0.0789272860461746,"benign"
-1.61936197589919,0.080377449928445,"benign"
-1.60533565403843,0.0818452936808006,"benign"
-1.59130933217768,0.0833212892680192,"benign"
-1.57728301031692,0.0848185955772493,"benign"
-1.56325668845617,0.0863274868029508,"benign"
-1.54923036659541,0.087849853452339,"benign"
-1.53520404473466,0.089393373720293,"benign"
-1.52117772287391,0.0909461497380425,"benign"
-1.50715140101315,0.0925217571747899,"benign"
-1.4931250791524,0.0941116566378658,"benign"
-1.47909875729164,0.0957154443136555,"benign"
-1.46507243543089,0.0973441984745191,"benign"
-1.45104611357013,0.0989833111503765,"benign"
-1.43701979170938,0.100646418641481,"benign"
-1.42299346984862,0.102326643367776,"benign"
-1.40896714798787,0.10402075760296,"benign"
-1.39494082612711,0.105743481204314,"benign"
-1.38091450426636,0.107477431920996,"benign"
-1.36688818240561,0.109235740509396,"benign"
-1.35286186054485,0.111013693465876,"benign"
-1.3388355386841,0.11280491090215,"benign"
-1.32480921682334,0.114627532033351,"benign"
-1.31078289496259,0.116461758449654,"benign"
-1.29675657310183,0.118319537702148,"benign"
-1.28273025124108,0.120198645191323,"benign"
-1.26870392938032,0.122089655486175,"benign"
-1.25467760751957,0.124013220674139,"benign"
-1.24065128565881,0.125948029888264,"benign"
-1.22662496379806,0.127904185859402,"benign"
-1.21259864193731,0.129881883711882,"benign"
-1.19857232007655,0.131870465891199,"benign"
-1.1845459982158,0.13388816998495,"benign"
-1.17051967635504,0.135916865447192,"benign"
-1.15649335449429,0.137963245925421,"benign"
-1.14246703263353,0.140029273263722,"benign"
-1.12844071077278,0.142104482573333,"benign"
-1.11441438891202,0.144202425784879,"benign"
-1.10038806705127,0.146309887137285,"benign"
-1.08636174519052,0.148430059966727,"benign"
-1.07233542332976,0.150565312829668,"benign"
-1.05830910146901,0.152706938859004,"benign"
-1.04428277960825,0.154862818993633,"benign"
-1.0302564577475,0.157024768843057,"benign"
-1.01623013588674,0.159193479788266,"benign"
-1.00220381402599,0.161369637644704,"benign"
-0.988177492165234,0.163548264860026,"benign"
-0.974151170304479,0.165731050640139,"benign"
-0.960124848443725,0.167914185456725,"benign"
-0.946098526582971,0.170097645128238,"benign"
-0.932072204722216,0.172277714252685,"benign"
-0.918045882861461,0.174455386929892,"benign"
-0.904019561000707,0.176626202369574,"benign"
-0.889993239139952,0.178789281762725,"benign"
-0.875966917279198,0.180946352188623,"benign"
-0.861940595418444,0.183086178311274,"benign"
-0.847914273557689,0.185218034228843,"benign"
-0.833887951696934,0.187331938917319,"benign"
-0.81986162983618,0.189427827823733,"benign"
-0.805835307975425,0.191512087132504,"benign"
-0.791808986114671,0.193562786337195,"benign"
-0.777782664253917,0.19559959432442,"benign"
-0.763756342393162,0.197608174608932,"benign"
-0.749730020532407,0.199586728293924,"benign"
-0.735703698671653,0.201549251771811,"benign"
-0.721677376810898,0.203460451356671,"benign"
-0.707651054950144,0.205351885967706,"benign"
-0.693624733089389,0.207206482044749,"benign"
-0.679598411228635,0.209018066920224,"benign"
-0.66557208936788,0.210807951755193,"benign"
-0.651545767507126,0.212534367934878,"benign"
-0.637519445646371,0.214232767277736,"benign"
-0.623493123785617,0.215888086785861,"benign"
-0.609466801924862,0.217487452495355,"benign"
-0.595440480064108,0.219060210451677,"benign"
-0.581414158203353,0.220560859370533,"benign"
-0.567387836342599,0.222025149729339,"benign"
-0.553361514481844,0.223442968030125,"benign"
-0.53933519262109,0.224793136984991,"benign"
-0.525308870760335,0.226113019521569,"benign"
-0.511282548899581,0.227356341503233,"benign"
-0.497256227038826,0.228555781723267,"benign"
-0.483229905178072,0.229708407927167,"benign"
-0.469203583317317,0.23078423262794,"benign"
-0.455177261456563,0.231827723557269,"benign"
-0.441150939595808,0.23279471822047,"benign"
-0.427124617735054,0.233712120573947,"benign"
-0.413098295874299,0.234585318066607,"benign"
-0.399071974013545,0.235376374942381,"benign"
-0.38504565215279,0.236134979616196,"benign"
-0.371019330292035,0.23682160775544,"benign"
-0.356993008431281,0.237455728612973,"benign"
-0.342966686570527,0.238050817268209,"benign"
-0.328940364709772,0.238563355174338,"benign"
-0.314914042849018,0.239045412802785,"benign"
-0.300887720988263,0.239464031367279,"benign"
-0.286861399127508,0.239830889254029,"benign"
-0.272835077266754,0.240165818557409,"benign"
-0.258808755406,0.24042355402312,"benign"
-0.244782433545245,0.240654876381877,"benign"
-0.230756111684491,0.240834546778079,"benign"
-0.216729789823736,0.240967509548234,"benign"
-0.202703467962982,0.241076013746079,"benign"
-0.188677146102227,0.241120411767551,"benign"
-0.174650824241473,0.241143643089375,"benign"
-0.160624502380718,0.24112923814533,"benign"
-0.146598180519963,0.241077816168784,"benign"
-0.132571858659209,0.241008585018368,"benign"
-0.118545536798455,0.240896626054188,"benign"
-0.1045192149377,0.240769316405609,"benign"
-0.0904928930769455,0.240619439881071,"benign"
-0.0764665712161912,0.240446819619556,"benign"
-0.0624402493554364,0.240264494402577,"benign"
-0.048413927494682,0.240062236395368,"benign"
-0.0343876056339276,0.239853716247531,"benign"
-0.0203612837731728,0.23963753394387,"benign"
-0.00633496191241845,0.239416978698729,"benign"
0.00769135994833592,0.239195769027976,"benign"
0.0217176818090907,0.238977198622685,"benign"
0.0357440036698451,0.2387644292622,"benign"
0.0497703255305995,0.238557587343093,"benign"
0.0637966473913543,0.238367913748629,"benign"
0.0778229692521086,0.238186974377554,"benign"
0.091849291112863,0.238029446654905,"benign"
0.105875612973618,0.237892095126983,"benign"
0.119901934834372,0.237771965667702,"benign"
0.133928256695127,0.237692372056423,"benign"
0.147954578555881,0.237630571220408,"benign"
0.161980900416636,0.237609765457367,"benign"
0.17600722227739,0.237624811180017,"benign"
0.190033544138144,0.237665355086789,"benign"
0.204059865998899,0.23776992901647,"benign"
0.218086187859654,0.23790034107934,"benign"
0.232112509720408,0.238085047499141,"benign"
0.246138831581163,0.238321268914357,"benign"
0.260165153441917,0.238587840888237,"benign"
0.274191475302672,0.238940106513968,"benign"
0.288217797163426,0.239324592593149,"benign"
0.302244119024181,0.239771668592794,"benign"
0.316270440884935,0.240284380948689,"benign"
0.33029676274569,0.240831089477798,"benign"
0.344323084606444,0.241476699246512,"benign"
0.358349406467199,0.242160951072514,"benign"
0.372375728327953,0.242910791325604,"benign"
0.386402050188708,0.243737209369802,"benign"
0.400428372049462,0.244600818956461,"benign"
0.414454693910217,0.245565112986942,"benign"
0.428481015770971,0.246574525697929,"benign"
0.442507337631726,0.247647377111877,"benign"
0.45653365949248,0.248802957101417,"benign"
0.470559981353235,0.24999612753296,"benign"
0.484586303213989,0.251284426550321,"benign"
0.498612625074744,0.252621133240661,"benign"
0.512638946935498,0.254014551041424,"benign"
0.526665268796253,0.255490622847946,"benign"
0.540691590657007,0.257001689138107,"benign"
0.554717912517762,0.258595681153219,"benign"
0.568744234378516,0.260237023834655,"benign"
0.582770556239271,0.2619247074783,"benign"
0.596796878100025,0.263687638139343,"benign"
0.61082319996078,0.265479979889302,"benign"
0.624849521821534,0.2673375696608,"benign"
0.638875843682289,0.269236197170228,"benign"
0.652902165543043,0.271168364076645,"benign"
0.666928487403798,0.273160399140028,"benign"
0.680954809264553,0.275173498696289,"benign"
0.694981131125307,0.277230244935923,"benign"
0.709007452986061,0.279315920002876,"benign"
0.723033774846816,0.281421273349576,"benign"
0.73706009670757,0.283563084931695,"benign"
0.751086418568325,0.285715286417483,"benign"
0.765112740429079,0.287887405874157,"benign"
0.779139062289834,0.290070476265606,"benign"
0.793165384150589,0.292259705481313,"benign"
0.807191706011343,0.294454543002027,"benign"
0.821218027872098,0.296647390003295,"benign"
0.835244349732852,0.298836183995821,"benign"
0.849270671593606,0.301012535516591,"benign"
0.863296993454361,0.303182152935611,"benign"
0.877323315315116,0.305322365133897,"benign"
0.89134963717587,0.307446257507515,"benign"
0.905375959036625,0.309543693173813,"benign"
0.919402280897379,0.311600868003883,"benign"
0.933428602758133,0.313637865274226,"benign"
0.947454924618888,0.315612632966234,"benign"
0.961481246479643,0.317553417116239,"benign"
0.975507568340397,0.319448485592816,"benign"
0.989533890201152,0.321272532971588,"benign"
1.00356021206191,0.323063213893037,"benign"
1.01758653392266,0.324763253167354,"benign"
1.03161285578341,0.326409260627446,"benign"
1.04563917764417,0.327994651168573,"benign"
1.05966549950492,0.329477194030158,"benign"
1.07369182136568,0.330914298727919,"benign"
1.08771814322643,0.332238399651257,"benign"
1.10174446508719,0.333487390197589,"benign"
1.11577078694794,0.334665974999404,"benign"
1.1297971088087,0.335710938819059,"benign"
1.14382343066945,0.336700292323768,"benign"
1.15784975253021,0.337561396359013,"benign"
1.17187607439096,0.338326854743804,"benign"
1.18590239625171,0.339017482396456,"benign"
1.19992871811247,0.339546949505095,"benign"
1.21395503997322,0.340013170505062,"benign"
1.22798136183398,0.340343448538191,"benign"
1.24200768369473,0.340559732950781,"benign"
1.25603400555549,0.340701881966021,"benign"
1.27006032741624,0.340660607557746,"benign"
1.284086649277,0.340551427118066,"benign"
1.29811297113775,0.340305971728965,"benign"
1.31213929299851,0.33993191460563,"benign"
1.32616561485926,0.33948885881064,"benign"
1.34019193672001,0.338847107862533,"benign"
1.35421825858077,0.338135976752211,"benign"
1.36824458044152,0.337294848706342,"benign"
1.38227090230228,0.336315556337055,"benign"
1.39629722416303,0.335267160368035,"benign"
1.41032354602379,0.33403035521554,"benign"
1.42434986788454,0.332717181880084,"benign"
1.4383761897453,0.331285704147272,"benign"
1.45240251160605,0.329712474051713,"benign"
1.4664288334668,0.328072941791012,"benign"
1.48045515532756,0.326262741934184,"benign"
1.49448147718831,0.324372781774922,"benign"
1.50850779904907,0.3223801368472,"benign"
1.52253412090982,0.320248590364877,"benign"
1.53656044277058,0.318056293209994,"benign"
1.55058676463133,0.3157162605207,"benign"
1.56461308649209,0.313297349240525,"benign"
1.57863940835284,0.310793687805968,"benign"
1.5926657302136,0.308160377983366,"benign"
1.60669205207435,0.305474116650702,"benign"
1.6207183739351,0.302666186787637,"benign"
1.63474469579586,0.299784655268542,"benign"
1.64877101765661,0.296837048504457,"benign"
1.66279733951737,0.293774930693546,"benign"
1.67682366137812,0.290669292979187,"benign"
1.69084998323888,0.287469184009172,"benign"
1.70487630509963,0.284204892724745,"benign"
1.71890262696039,0.28089254279949,"benign"
1.73292894882114,0.277485773220002,"benign"
1.74695527068189,0.274045882585497,"benign"
1.76098159254265,0.270538059555753,"benign"
1.7750079144034,0.266979036716177,"benign"
1.78903423626416,0.263388192815369,"benign"
1.80306055812491,0.259726741834767,"benign"
1.81708687998567,0.256042882164447,"benign"
1.83111320184642,0.252315518576326,"benign"
1.84513952370718,0.248552675833494,"benign"
1.85916584556793,0.244771249964815,"benign"
1.87319216742869,0.240946218801084,"benign"
1.88721848928944,0.237108780255703,"benign"
1.90124481115019,0.233249109340944,"benign"
1.91527113301095,0.229371447665158,"benign"
1.9292974548717,0.225485404529737,"benign"
1.94332377673246,0.221583712528516,"benign"
1.95735009859321,0.217678818461345,"benign"
1.97137642045397,0.21376918221332,"benign"
1.98540274231472,0.209859800811493,"benign"
1.99942906417548,0.205951327813751,"benign"
2.01345538603623,0.202050299855665,"benign"
2.02748170789699,0.198156360346251,"benign"
2.04150802975774,0.194271156541175,"benign"
2.05553435161849,0.190404255990086,"benign"
2.06956067347925,0.186546338336244,"benign"
2.08358699534,0.18271386547323,"benign"
2.09761331720076,0.178899176885807,"benign"
2.11163963906151,0.175102789669496,"benign"
2.12566596092227,0.171341734716282,"benign"
2.13969228278302,0.167596351152002,"benign"
2.15371860464378,0.16388947108362,"benign"
2.16774492650453,0.160210860568647,"benign"
2.18177124836528,0.156556553587465,"benign"
2.19579757022604,0.152952947739818,"benign"
2.20982389208679,0.149370265109517,"benign"
2.22385021394755,0.145834641522816,"benign"
2.2378765358083,0.142337055002714,"benign"
2.25190285766906,0.138866719551378,"benign"
2.26592917952981,0.135460355197372,"benign"
2.27995550139057,0.132078776156243,"benign"
