score,frequency,class
-6.77510996837946,0.0283914636646895,"deleterious"
-6.76493133452799,0.0296734871647075,"deleterious"
-6.75475270067653,0.0310255663368228,"deleterious"
-6.74457406682507,0.0324114241217961,"deleterious"
-6.7343954329736,0.0338499410128031,"deleterious"
-6.72421679912214,0.0353446457012886,"deleterious"
-6.71403816527068,0.0368729915818064,"deleterious"
-6.70385953141921,0.0384814807284307,"deleterious"
-6.69368089756775,0.0401121473108002,"deleterious"
-6.68350226371629,0.0418300934028633,"deleterious"
-6.67332362986482,0.0435808729992655,"deleterious"
-6.66314499601336,0.0453984253880381,"deleterious"
-6.6529663621619,0.0472739166951847,"deleterious"
-6.64278772831043,0.0491941349287187,"deleterious"
-6.63260909445897,0.0511987253079294,"deleterious"
-6.62243046060751,0.0532281922285294,"deleterious"
-6.61225182675604,0.055362355424519,"deleterious"
-6.60207319290458,0.0575263035648531,"deleterious"
-6.59189455905312,0.0597714058862153,"deleterious"
-6.58171592520165,0.0620735286933705,"deleterious"
-6.57153729135019,0.064431948592945,"deleterious"
-6.56135865749873,0.0668755716122879,"deleterious"
-6.55118002364726,0.0693494579608825,"deleterious"
-6.5410013897958,0.0719374917896194,"deleterious"
-6.53082275594434,0.0745534068616099,"deleterious"
-6.52064412209287,0.0772636324359496,"deleterious"
-6.51046548824141,0.0800270316054792,"deleterious"
-6.50028685438995,0.0828575487797982,"deleterious"
-6.49010822053848,0.0857701412705242,"deleterious"
-6.47992958668702,0.0887219369095795,"deleterious"
-6.46975095283556,0.091784853343324,"deleterious"
-6.45957231898409,0.0948764230262701,"deleterious"
-6.44939368513263,0.0980723109994415,"deleterious"
-6.43921505128117,0.10131468405062,"deleterious"
-6.4290364174297,0.104632616494431,"deleterious"
-6.41885778357824,0.108025340642019,"deleterious"
-6.40867914972678,0.111464767435899,"deleterious"
-6.39850051587531,0.11500666266144,"deleterious"
-6.38832188202385,0.118576719656461,"deleterious"
-6.37814324817239,0.12225571780549,"deleterious"
-6.36796461432092,0.125972172271798,"deleterious"
-6.35778598046946,0.129768318922159,"deleterious"
-6.347607346618,0.133628085275492,"deleterious"
-6.33742871276653,0.137538976671395,"deleterious"
-6.32725007891507,0.14153812713743,"deleterious"
-6.31707144506361,0.145563446114993,"deleterious"
-6.30689281121214,0.14969459921674,"deleterious"
-6.29671417736068,0.153852769669824,"deleterious"
-6.28653554350922,0.158088405939442,"deleterious"
-6.27635690965775,0.16237337969176,"deleterious"
-6.26617827580629,0.166709032607897,"deleterious"
-6.25599964195483,0.171113859651311,"deleterious"
-6.24582100810336,0.175544531382547,"deleterious"
-6.2356423742519,0.180061355422006,"deleterious"
-6.22546374040044,0.184597987074584,"deleterious"
-6.21528510654897,0.189201576130323,"deleterious"
-6.20510647269751,0.193838372183289,"deleterious"
-6.19492783884605,0.198518804391682,"deleterious"
-6.18474920499458,0.203245743330637,"deleterious"
-6.17457057114312,0.207995916270239,"deleterious"
-6.16439193729166,0.212802105696143,"deleterious"
-6.15421330344019,0.2176217746397,"deleterious"
-6.14403466958873,0.222488113462201,"deleterious"
-6.13385603573727,0.227371317585742,"deleterious"
-6.1236774018858,0.232283117007037,"deleterious"
-6.11349876803434,0.237216985427248,"deleterious"
-6.10332013418288,0.242165220434213,"deleterious"
-6.09314150033141,0.247136131862837,"deleterious"
-6.08296286647995,0.252112636186046,"deleterious"
-6.07278423262849,0.257104982700464,"deleterious"
-6.06260559877702,0.262099468769465,"deleterious"
-6.05242696492556,0.267098720760151,"deleterious"
-6.0422483310741,0.272095982839328,"deleterious"
-6.03206969722263,0.277091580574043,"deleterious"
-6.02189106337117,0.282075868435605,"deleterious"
-6.01171242951971,0.287056594433164,"deleterious"
-6.00153379566824,0.292012045217298,"deleterious"
-5.99135516181678,0.296958301924403,"deleterious"
-5.98117652796532,0.30187678144704,"deleterious"
-5.97099789411385,0.306771824564288,"deleterious"
-5.96081926026239,0.311641821011324,"deleterious"
-5.95064062641093,0.316468643455093,"deleterious"
